Decile,Conservative,Liberal Democrat,Labour,Green,SNP,Plaid Cymru,DUP,Sinn Fein,SDLP,UUP,Alliance,Brexit,Other
1,20.468863106481276,3.4952256097279837,43.00662866416971,1.6874430385194088,1.9945547514135669,0.0,7.005397604582431,6.757302980516676,3.366279418251342,2.5305882190210234,3.3694300701289,4.422631516662338,1.8956550205253444
2,30.994241828743174,4.970161546686703,46.90561512007629,2.2971996647689505,0.0,0.48803571944629076,2.232573765280467,0.216202352397191,1.124360604571858,0.9847773314452504,1.6769138514001676,7.085946305233651,1.0239719099500044
3,35.766868720316666,6.899190184233002,44.24307214211277,2.4610959000244943,5.561806920380096,0.33069208911073567,0.0,0.0,0.0,0.0,0.0,3.017007459734908,1.7202665840873297
4,39.501303447193294,7.776962064406117,40.26969688312247,2.505841517128429,5.097102883569953,0.8464943353574937,0.0,0.0,0.0,0.0,0.0,3.1700362191717324,0.8325626500505103
5,45.34079744994144,9.735342489768511,35.19913854906556,3.3206233490696566,3.6194823296668566,0.14194361987901682,0.0,0.0,0.0,0.0,0.0,1.8913019624177314,0.7513702501912256
6,47.18754054391596,8.797317402327812,30.913894725865532,2.125774350903273,7.078801003488444,2.2904963242203746,0.0,0.0,0.0,0.0,0.0,0.9091840533124456,0.6969915959661608
7,48.73670216704987,11.98619282531667,27.00293193630429,3.600760206236748,5.577195708673709,0.5510784300366773,0.0,0.0,0.0,0.0,0.0,0.8840537381447342,1.6610849882373013
8,50.29798014704729,13.23501140403506,27.77383478175517,2.7224193397566094,4.814291663351259,0.10076903910477598,0.0,0.0,0.0,0.0,0.0,0.46278253809040637,0.592911086859427
9,54.98111373909445,17.293805724650202,20.20425447145434,3.585142808087634,2.1284463849209274,0.04418900788798554,0.0,0.0,0.0,0.0,0.0,0.17323411809636174,1.5898137458080976
10,52.38920416223643,25.299315223955666,15.5008493398466,2.3793631822417565,2.4324587022130224,0.0,0.0,0.0,0.0,0.0,0.0,0.12097270346394419,1.8778366860425826
